date,team,awayTeam
14/08/2021,Crystal Palace,Chelsea
14/08/2021,Southampton,Everton
14/08/2021,Wolves,Leicester
14/08/2021,Aston Villa,Watford
14/08/2021,Liverpool,Norwich
15/08/2021,Newcastle,West Ham
15/08/2021,Spurs,Man City
15/08/2021,West Ham,Newcastle
15/08/2021,Man City,Spurs
21/08/2021,Liverpool,Burnley
21/08/2021,Aston Villa,Newcastle
21/08/2021,Crystal Palace,Brentford
21/08/2021,Leeds,Everton
21/08/2021,Man City,Norwich
21/08/2021,Brighton,Watford
21/08/2021,Burnley,Liverpool
21/08/2021,Newcastle,Aston Villa
21/08/2021,Brentford,Crystal Palace
21/08/2021,Everton,Leeds
21/08/2021,Norwich,Man City
21/08/2021,Watford,Brighton
22/08/2021,Southampton,Man Utd
22/08/2021,Wolves,Spurs
22/08/2021,Arsenal,Chelsea
22/08/2021,Man Utd,Southampton
22/08/2021,Spurs,Wolves
22/08/2021,Chelsea,Arsenal
23/08/2021,West Ham,Leicester
23/08/2021,Leicester,West Ham
28/08/2021,Man City,Arsenal
28/08/2021,Aston Villa,Brentford
28/08/2021,Brighton,Everton
28/08/2021,Newcastle,Southampton
28/08/2021,Norwich,Leicester
28/08/2021,West Ham,Crystal Palace
28/08/2021,Liverpool,Chelsea
28/08/2021,Arsenal,Man City
28/08/2021,Brentford,Aston Villa
28/08/2021,Everton,Brighton
28/08/2021,Southampton,Newcastle
28/08/2021,Leicester,Norwich
28/08/2021,Crystal Palace,West Ham
28/08/2021,Chelsea,Liverpool
29/08/2021,Burnley,Leeds
29/08/2021,Spurs,Watford
29/08/2021,Wolves,Man Utd
29/08/2021,Leeds,Burnley
29/08/2021,Watford,Spurs
29/08/2021,Man Utd,Wolves
11/09/2021,Crystal Palace,Spurs
11/09/2021,Arsenal,Norwich
11/09/2021,Brentford,Brighton
11/09/2021,Leicester,Man City
11/09/2021,Man Utd,Newcastle
11/09/2021,Southampton,West Ham
11/09/2021,Watford,Wolves
11/09/2021,Chelsea,Aston Villa
11/09/2021,Spurs,Crystal Palace
11/09/2021,Norwich,Arsenal
11/09/2021,Brighton,Brentford
11/09/2021,Man City,Leicester
11/09/2021,Newcastle,Man Utd
11/09/2021,West Ham,Southampton
11/09/2021,Wolves,Watford
11/09/2021,Aston Villa,Chelsea
12/09/2021,Leeds,Liverpool
12/09/2021,Liverpool,Leeds
13/09/2021,Everton,Burnley
13/09/2021,Burnley,Everton
17/09/2021,Newcastle,Leeds
17/09/2021,Leeds,Newcastle
18/09/2021,Wolves,Brentford
18/09/2021,Burnley,Arsenal
18/09/2021,Liverpool,Crystal Palace
18/09/2021,Man City,Southampton
18/09/2021,Norwich,Watford
18/09/2021,Aston Villa,Everton
18/09/2021,Brentford,Wolves
18/09/2021,Arsenal,Burnley
18/09/2021,Crystal Palace,Liverpool
18/09/2021,Southampton,Man City
18/09/2021,Watford,Norwich
18/09/2021,Everton,Aston Villa
19/09/2021,Brighton,Leicester
19/09/2021,West Ham,Man Utd
19/09/2021,Spurs,Chelsea
19/09/2021,Leicester,Brighton
19/09/2021,Man Utd,West Ham
19/09/2021,Chelsea,Spurs
25/09/2021,Chelsea,Man City
25/09/2021,Man Utd,Aston Villa
25/09/2021,Everton,Norwich
25/09/2021,Leeds,West Ham
25/09/2021,Leicester,Burnley
25/09/2021,Watford,Newcastle
25/09/2021,Brentford,Liverpool
25/09/2021,Man City,Chelsea
25/09/2021,Aston Villa,Man Utd
25/09/2021,Norwich,Everton
25/09/2021,West Ham,Leeds
25/09/2021,Burnley,Leicester
25/09/2021,Newcastle,Watford
25/09/2021,Liverpool,Brentford
26/09/2021,Southampton,Wolves
26/09/2021,Arsenal,Spurs
26/09/2021,Wolves,Southampton
26/09/2021,Spurs,Arsenal
27/09/2021,Crystal Palace,Brighton
27/09/2021,Brighton,Crystal Palace
02/10/2021,Man Utd,Everton
02/10/2021,Burnley,Norwich
02/10/2021,Chelsea,Southampton
02/10/2021,Leeds,Watford
02/10/2021,Wolves,Newcastle
02/10/2021,Brighton,Arsenal
02/10/2021,Everton,Man Utd
02/10/2021,Norwich,Burnley
02/10/2021,Southampton,Chelsea
02/10/2021,Watford,Leeds
02/10/2021,Newcastle,Wolves
02/10/2021,Arsenal,Brighton
03/10/2021,Crystal Palace,Leicester
03/10/2021,Spurs,Aston Villa
03/10/2021,West Ham,Brentford
03/10/2021,Liverpool,Man City
03/10/2021,Leicester,Crystal Palace
03/10/2021,Aston Villa,Spurs
03/10/2021,Brentford,West Ham
03/10/2021,Man City,Liverpool
16/10/2021,Watford,Liverpool
16/10/2021,Aston Villa,Wolves
16/10/2021,Leicester,Man Utd
16/10/2021,Man City,Burnley
16/10/2021,Norwich,Brighton
16/10/2021,Southampton,Leeds
16/10/2021,Brentford,Chelsea
16/10/2021,Liverpool,Watford
16/10/2021,Wolves,Aston Villa
16/10/2021,Man Utd,Leicester
16/10/2021,Burnley,Man City
16/10/2021,Brighton,Norwich
16/10/2021,Leeds,Southampton
16/10/2021,Chelsea,Brentford
17/10/2021,Everton,West Ham
17/10/2021,Newcastle,Spurs
17/10/2021,West Ham,Everton
17/10/2021,Spurs,Newcastle
18/10/2021,Arsenal,Crystal Palace
18/10/2021,Crystal Palace,Arsenal
22/10/2021,Arsenal,Aston Villa
22/10/2021,Aston Villa,Arsenal
23/10/2021,Chelsea,Norwich
23/10/2021,Crystal Palace,Newcastle
23/10/2021,Everton,Watford
23/10/2021,Leeds,Wolves
23/10/2021,Southampton,Burnley
23/10/2021,Brighton,Man City
23/10/2021,Norwich,Chelsea
23/10/2021,Newcastle,Crystal Palace
23/10/2021,Watford,Everton
23/10/2021,Wolves,Leeds
23/10/2021,Burnley,Southampton
23/10/2021,Man City,Brighton
24/10/2021,Brentford,Leicester
24/10/2021,West Ham,Spurs
24/10/2021,Man Utd,Liverpool
24/10/2021,Leicester,Brentford
24/10/2021,Spurs,West Ham
24/10/2021,Liverpool,Man Utd
30/10/2021,Leicester,Arsenal
30/10/2021,Burnley,Brentford
30/10/2021,Liverpool,Brighton
30/10/2021,Man City,Crystal Palace
30/10/2021,Newcastle,Chelsea
30/10/2021,Watford,Southampton
30/10/2021,Spurs,Man Utd
30/10/2021,Arsenal,Leicester
30/10/2021,Brentford,Burnley
30/10/2021,Brighton,Liverpool
30/10/2021,Crystal Palace,Man City
30/10/2021,Chelsea,Newcastle
30/10/2021,Southampton,Watford
30/10/2021,Man Utd,Spurs
31/10/2021,Norwich,Leeds
31/10/2021,Aston Villa,West Ham
31/10/2021,Leeds,Norwich
31/10/2021,West Ham,Aston Villa
01/11/2021,Wolves,Everton
01/11/2021,Everton,Wolves
05/11/2021,Southampton,Aston Villa
05/11/2021,Aston Villa,Southampton
06/11/2021,Man Utd,Man City
06/11/2021,Brentford,Norwich
06/11/2021,Chelsea,Burnley
06/11/2021,Crystal Palace,Wolves
06/11/2021,Brighton,Newcastle
06/11/2021,Man City,Man Utd
06/11/2021,Norwich,Brentford
06/11/2021,Burnley,Chelsea
06/11/2021,Wolves,Crystal Palace
06/11/2021,Newcastle,Brighton
07/11/2021,Arsenal,Watford
07/11/2021,Everton,Spurs
07/11/2021,Leeds,Leicester
07/11/2021,West Ham,Liverpool
07/11/2021,Watford,Arsenal
07/11/2021,Spurs,Everton
07/11/2021,Leicester,Leeds
07/11/2021,Liverpool,West Ham
20/11/2021,Leicester,Chelsea
20/11/2021,Aston Villa,Brighton
20/11/2021,Burnley,Crystal Palace
20/11/2021,Newcastle,Brentford
20/11/2021,Norwich,Southampton
20/11/2021,Watford,Man Utd
20/11/2021,Wolves,West Ham
20/11/2021,Liverpool,Arsenal
20/11/2021,Chelsea,Leicester
20/11/2021,Brighton,Aston Villa
20/11/2021,Crystal Palace,Burnley
20/11/2021,Brentford,Newcastle
20/11/2021,Southampton,Norwich
20/11/2021,Man Utd,Watford
20/11/2021,West Ham,Wolves
20/11/2021,Arsenal,Liverpool
21/11/2021,Man City,Everton
21/11/2021,Spurs,Leeds
21/11/2021,Everton,Man City
21/11/2021,Leeds,Spurs
27/11/2021,Arsenal,Newcastle
27/11/2021,Crystal Palace,Aston Villa
27/11/2021,Liverpool,Southampton
27/11/2021,Norwich,Wolves
27/11/2021,Brighton,Leeds
27/11/2021,Newcastle,Arsenal
27/11/2021,Aston Villa,Crystal Palace
27/11/2021,Southampton,Liverpool
27/11/2021,Wolves,Norwich
27/11/2021,Leeds,Brighton
28/11/2021,Brentford,Everton
28/11/2021,Leicester,Watford
28/11/2021,Man City,West Ham
28/11/2021,Chelsea,Man Utd
28/11/2021,Everton,Brentford
28/11/2021,Watford,Leicester
28/11/2021,West Ham,Man City
28/11/2021,Man Utd,Chelsea
30/11/2021,Newcastle,Norwich
30/11/2021,Leeds,Crystal Palace
30/11/2021,Norwich,Newcastle
30/11/2021,Crystal Palace,Leeds
01/12/2021,Southampton,Leicester
01/12/2021,Watford,Chelsea
01/12/2021,West Ham,Brighton
01/12/2021,Wolves,Burnley
01/12/2021,Aston Villa,Man City
01/12/2021,Everton,Liverpool
01/12/2021,Leicester,Southampton
01/12/2021,Chelsea,Watford
01/12/2021,Brighton,West Ham
01/12/2021,Burnley,Wolves
01/12/2021,Man City,Aston Villa
01/12/2021,Liverpool,Everton
02/12/2021,Spurs,Brentford
02/12/2021,Man Utd,Arsenal
02/12/2021,Brentford,Spurs
02/12/2021,Arsenal,Man Utd
04/12/2021,West Ham,Chelsea
04/12/2021,Newcastle,Burnley
04/12/2021,Southampton,Brighton
04/12/2021,Wolves,Liverpool
04/12/2021,Watford,Man City
04/12/2021,Chelsea,West Ham
04/12/2021,Burnley,Newcastle
04/12/2021,Brighton,Southampton
04/12/2021,Liverpool,Wolves
04/12/2021,Man City,Watford
05/12/2021,Leeds,Brentford
05/12/2021,Man Utd,Crystal Palace
05/12/2021,Spurs,Norwich
05/12/2021,Aston Villa,Leicester
05/12/2021,Brentford,Leeds
05/12/2021,Crystal Palace,Man Utd
05/12/2021,Norwich,Spurs
05/12/2021,Leicester,Aston Villa
06/12/2021,Everton,Arsenal
06/12/2021,Arsenal,Everton
10/12/2021,Brentford,Watford
10/12/2021,Watford,Brentford
11/12/2021,Man City,Wolves
11/12/2021,Arsenal,Southampton
11/12/2021,Chelsea,Leeds
11/12/2021,Liverpool,Aston Villa
11/12/2021,Norwich,Man Utd
11/12/2021,Wolves,Man City
11/12/2021,Southampton,Arsenal
11/12/2021,Leeds,Chelsea
11/12/2021,Aston Villa,Liverpool
11/12/2021,Man Utd,Norwich
12/12/2021,Burnley,West Ham
12/12/2021,Leicester,Newcastle
12/12/2021,Crystal Palace,Everton
12/12/2021,West Ham,Burnley
12/12/2021,Newcastle,Leicester
12/12/2021,Everton,Crystal Palace
14/12/2021,Norwich,Aston Villa
14/12/2021,Man City,Leeds
14/12/2021,Aston Villa,Norwich
14/12/2021,Leeds,Man City
15/12/2021,Brighton,Wolves
15/12/2021,Crystal Palace,Southampton
15/12/2021,Arsenal,West Ham
15/12/2021,Wolves,Brighton
15/12/2021,Southampton,Crystal Palace
15/12/2021,West Ham,Arsenal
16/12/2021,Chelsea,Everton
16/12/2021,Liverpool,Newcastle
16/12/2021,Everton,Chelsea
16/12/2021,Newcastle,Liverpool
18/12/2021,Leeds,Arsenal
18/12/2021,Arsenal,Leeds
19/12/2021,Newcastle,Man City
19/12/2021,Wolves,Chelsea
19/12/2021,Spurs,Liverpool
19/12/2021,Man City,Newcastle
19/12/2021,Chelsea,Wolves
19/12/2021,Liverpool,Spurs
26/12/2021,Man City,Leicester
26/12/2021,Norwich,Arsenal
26/12/2021,Spurs,Crystal Palace
26/12/2021,West Ham,Southampton
26/12/2021,Aston Villa,Chelsea
26/12/2021,Brighton,Brentford
26/12/2021,Leicester,Man City
26/12/2021,Arsenal,Norwich
26/12/2021,Crystal Palace,Spurs
26/12/2021,Southampton,West Ham
26/12/2021,Chelsea,Aston Villa
26/12/2021,Brentford,Brighton
27/12/2021,Newcastle,Man Utd
27/12/2021,Man Utd,Newcastle
28/12/2021,Crystal Palace,Norwich
28/12/2021,Southampton,Spurs
28/12/2021,Watford,West Ham
28/12/2021,Leicester,Liverpool
28/12/2021,Norwich,Crystal Palace
28/12/2021,Spurs,Southampton
28/12/2021,West Ham,Watford
28/12/2021,Liverpool,Leicester
29/12/2021,Chelsea,Brighton
29/12/2021,Brentford,Man City
29/12/2021,Brighton,Chelsea
29/12/2021,Man City,Brentford
30/12/2021,Man Utd,Burnley
30/12/2021,Burnley,Man Utd
01/01/2022,Arsenal,Man City
01/01/2022,Watford,Spurs
01/01/2022,Crystal Palace,West Ham
01/01/2022,Man City,Arsenal
01/01/2022,Spurs,Watford
01/01/2022,West Ham,Crystal Palace
02/01/2022,Brentford,Aston Villa
02/01/2022,Everton,Brighton
02/01/2022,Leeds,Burnley
02/01/2022,Chelsea,Liverpool
02/01/2022,Aston Villa,Brentford
02/01/2022,Brighton,Everton
02/01/2022,Burnley,Leeds
02/01/2022,Liverpool,Chelsea
03/01/2022,Man Utd,Wolves
03/01/2022,Wolves,Man Utd
11/01/2022,Southampton,Brentford
11/01/2022,Brentford,Southampton
12/01/2022,West Ham,Norwich
12/01/2022,Norwich,West Ham
14/01/2022,Brighton,Crystal Palace
14/01/2022,Crystal Palace,Brighton
15/01/2022,Man City,Chelsea
15/01/2022,Newcastle,Watford
15/01/2022,Norwich,Everton
15/01/2022,Wolves,Southampton
15/01/2022,Aston Villa,Man Utd
15/01/2022,Chelsea,Man City
15/01/2022,Watford,Newcastle
15/01/2022,Everton,Norwich
15/01/2022,Southampton,Wolves
15/01/2022,Man Utd,Aston Villa
16/01/2022,Liverpool,Brentford
16/01/2022,West Ham,Leeds
16/01/2022,Brentford,Liverpool
16/01/2022,Leeds,West Ham
18/01/2022,Brighton,Chelsea
18/01/2022,Chelsea,Brighton
19/01/2022,Leicester,Spurs
19/01/2022,Brentford,Man Utd
19/01/2022,Spurs,Leicester
19/01/2022,Man Utd,Brentford
21/01/2022,Watford,Norwich
21/01/2022,Norwich,Watford
22/01/2022,Everton,Aston Villa
22/01/2022,Brentford,Wolves
22/01/2022,Leeds,Newcastle
22/01/2022,Man Utd,West Ham
22/01/2022,Southampton,Man City
22/01/2022,Aston Villa,Everton
22/01/2022,Wolves,Brentford
22/01/2022,Newcastle,Leeds
22/01/2022,West Ham,Man Utd
22/01/2022,Man City,Southampton
23/01/2022,Arsenal,Burnley
23/01/2022,Crystal Palace,Liverpool
23/01/2022,Leicester,Brighton
23/01/2022,Chelsea,Spurs
23/01/2022,Burnley,Arsenal
23/01/2022,Liverpool,Crystal Palace
23/01/2022,Brighton,Leicester
23/01/2022,Spurs,Chelsea
05/02/2022,Burnley,Watford
05/02/2022,Watford,Burnley
08/02/2022,Newcastle,Everton
08/02/2022,West Ham,Watford
08/02/2022,Burnley,Man Utd
08/02/2022,Everton,Newcastle
08/02/2022,Watford,West Ham
08/02/2022,Man Utd,Burnley
09/02/2022,Man City,Brentford
09/02/2022,Norwich,Crystal Palace
09/02/2022,Spurs,Southampton
09/02/2022,Aston Villa,Leeds
09/02/2022,Brentford,Man City
09/02/2022,Crystal Palace,Norwich
09/02/2022,Southampton,Spurs
09/02/2022,Leeds,Aston Villa
10/02/2022,Liverpool,Leicester
10/02/2022,Wolves,Arsenal
10/02/2022,Leicester,Liverpool
10/02/2022,Arsenal,Wolves
12/02/2022,Man Utd,Southampton
12/02/2022,Brentford,Crystal Palace
12/02/2022,Everton,Leeds
12/02/2022,Watford,Brighton
12/02/2022,Norwich,Man City
12/02/2022,Southampton,Man Utd
12/02/2022,Crystal Palace,Brentford
12/02/2022,Leeds,Everton
12/02/2022,Brighton,Watford
12/02/2022,Man City,Norwich
13/02/2022,Burnley,Liverpool
13/02/2022,Newcastle,Aston Villa
13/02/2022,Spurs,Wolves
13/02/2022,Leicester,West Ham
13/02/2022,Liverpool,Burnley
13/02/2022,Aston Villa,Newcastle
13/02/2022,Wolves,Spurs
13/02/2022,West Ham,Leicester
15/02/2022,Man Utd,Brighton
15/02/2022,Brighton,Man Utd
19/02/2022,West Ham,Newcastle
19/02/2022,Arsenal,Brentford
19/02/2022,Aston Villa,Watford
19/02/2022,Brighton,Burnley
19/02/2022,Crystal Palace,Chelsea
19/02/2022,Liverpool,Norwich
19/02/2022,Southampton,Everton
19/02/2022,Man City,Spurs
19/02/2022,Newcastle,West Ham
19/02/2022,Brentford,Arsenal
19/02/2022,Watford,Aston Villa
19/02/2022,Burnley,Brighton
19/02/2022,Chelsea,Crystal Palace
19/02/2022,Norwich,Liverpool
19/02/2022,Everton,Southampton
19/02/2022,Spurs,Man City
20/02/2022,Leeds,Man Utd
20/02/2022,Wolves,Leicester
20/02/2022,Man Utd,Leeds
20/02/2022,Leicester,Wolves
23/02/2022,Burnley,Spurs
23/02/2022,Watford,Crystal Palace
23/02/2022,Liverpool,Leeds
23/02/2022,Spurs,Burnley
23/02/2022,Crystal Palace,Watford
23/02/2022,Leeds,Liverpool
24/02/2022,Arsenal,Wolves
24/02/2022,Wolves,Arsenal
25/02/2022,Southampton,Norwich
25/02/2022,Norwich,Southampton
26/02/2022,Leeds,Spurs
26/02/2022,Brentford,Newcastle
26/02/2022,Crystal Palace,Burnley
26/02/2022,Man Utd,Watford
26/02/2022,Brighton,Aston Villa
26/02/2022,Everton,Man City
26/02/2022,Spurs,Leeds
26/02/2022,Newcastle,Brentford
26/02/2022,Burnley,Crystal Palace
26/02/2022,Watford,Man Utd
26/02/2022,Aston Villa,Brighton
26/02/2022,Man City,Everton
27/02/2022,West Ham,Wolves
27/02/2022,Wolves,West Ham
01/03/2022,Burnley,Leicester
01/03/2022,Leicester,Burnley
05/03/2022,Leicester,Leeds
05/03/2022,Aston Villa,Southampton
05/03/2022,Burnley,Chelsea
05/03/2022,Newcastle,Brighton
05/03/2022,Norwich,Brentford
05/03/2022,Wolves,Crystal Palace
05/03/2022,Liverpool,West Ham
05/03/2022,Leeds,Leicester
05/03/2022,Southampton,Aston Villa
05/03/2022,Chelsea,Burnley
05/03/2022,Brighton,Newcastle
05/03/2022,Brentford,Norwich
05/03/2022,Crystal Palace,Wolves
05/03/2022,West Ham,Liverpool
06/03/2022,Watford,Arsenal
06/03/2022,Man City,Man Utd
06/03/2022,Arsenal,Watford
06/03/2022,Man Utd,Man City
07/03/2022,Spurs,Everton
07/03/2022,Everton,Spurs
10/03/2022,Norwich,Chelsea
10/03/2022,Southampton,Newcastle
10/03/2022,Wolves,Watford
10/03/2022,Leeds,Aston Villa
10/03/2022,Chelsea,Norwich
10/03/2022,Newcastle,Southampton
10/03/2022,Watford,Wolves
10/03/2022,Aston Villa,Leeds
12/03/2022,Brighton,Liverpool
12/03/2022,Brentford,Burnley
12/03/2022,Man Utd,Spurs
12/03/2022,Liverpool,Brighton
12/03/2022,Burnley,Brentford
12/03/2022,Spurs,Man Utd
13/03/2022,Chelsea,Newcastle
13/03/2022,Everton,Wolves
13/03/2022,Leeds,Norwich
13/03/2022,Southampton,Watford
13/03/2022,West Ham,Aston Villa
13/03/2022,Arsenal,Leicester
13/03/2022,Newcastle,Chelsea
13/03/2022,Wolves,Everton
13/03/2022,Norwich,Leeds
13/03/2022,Watford,Southampton
13/03/2022,Aston Villa,West Ham
13/03/2022,Leicester,Arsenal
14/03/2022,Crystal Palace,Man City
14/03/2022,Man City,Crystal Palace
16/03/2022,Brighton,Spurs
16/03/2022,Arsenal,Liverpool
16/03/2022,Spurs,Brighton
16/03/2022,Liverpool,Arsenal
17/03/2022,Everton,Newcastle
17/03/2022,Newcastle,Everton
18/03/2022,Wolves,Leeds
18/03/2022,Leeds,Wolves
19/03/2022,Aston Villa,Arsenal
19/03/2022,Arsenal,Aston Villa
20/03/2022,Leicester,Brentford
20/03/2022,Spurs,West Ham
20/03/2022,Brentford,Leicester
20/03/2022,West Ham,Spurs
02/04/2022,Liverpool,Watford
02/04/2022,Brighton,Norwich
02/04/2022,Burnley,Man City
02/04/2022,Chelsea,Brentford
02/04/2022,Leeds,Southampton
02/04/2022,Wolves,Aston Villa
02/04/2022,Man Utd,Leicester
02/04/2022,Watford,Liverpool
02/04/2022,Norwich,Brighton
02/04/2022,Man City,Burnley
02/04/2022,Brentford,Chelsea
02/04/2022,Southampton,Leeds
02/04/2022,Aston Villa,Wolves
02/04/2022,Leicester,Man Utd
03/04/2022,West Ham,Everton
03/04/2022,Spurs,Newcastle
03/04/2022,Everton,West Ham
03/04/2022,Newcastle,Spurs
04/04/2022,Crystal Palace,Arsenal
04/04/2022,Arsenal,Crystal Palace
06/04/2022,Burnley,Everton
06/04/2022,Everton,Burnley
08/04/2022,Newcastle,Wolves
08/04/2022,Wolves,Newcastle
09/04/2022,Everton,Man Utd
09/04/2022,Arsenal,Brighton
09/04/2022,Southampton,Chelsea
09/04/2022,Watford,Leeds
09/04/2022,Aston Villa,Spurs
09/04/2022,Man Utd,Everton
09/04/2022,Brighton,Arsenal
09/04/2022,Chelsea,Southampton
09/04/2022,Leeds,Watford
09/04/2022,Spurs,Aston Villa
10/04/2022,Brentford,West Ham
10/04/2022,Leicester,Crystal Palace
10/04/2022,Norwich,Burnley
10/04/2022,Man City,Liverpool
10/04/2022,West Ham,Brentford
10/04/2022,Crystal Palace,Leicester
10/04/2022,Burnley,Norwich
10/04/2022,Liverpool,Man City
16/04/2022,Spurs,Brighton
16/04/2022,Man Utd,Norwich
16/04/2022,Southampton,Arsenal
16/04/2022,Watford,Brentford
16/04/2022,Brighton,Spurs
16/04/2022,Norwich,Man Utd
16/04/2022,Arsenal,Southampton
16/04/2022,Brentford,Watford
17/04/2022,Newcastle,Leicester
17/04/2022,West Ham,Burnley
17/04/2022,Leicester,Newcastle
17/04/2022,Burnley,West Ham
19/04/2022,Liverpool,Man Utd
19/04/2022,Man Utd,Liverpool
20/04/2022,Chelsea,Arsenal
20/04/2022,Everton,Leicester
20/04/2022,Newcastle,Crystal Palace
20/04/2022,Man City,Brighton
20/04/2022,Arsenal,Chelsea
20/04/2022,Leicester,Everton
20/04/2022,Crystal Palace,Newcastle
20/04/2022,Brighton,Man City
21/04/2022,Burnley,Southampton
21/04/2022,Southampton,Burnley
23/04/2022,Arsenal,Man Utd
23/04/2022,Leicester,Aston Villa
23/04/2022,Man City,Watford
23/04/2022,Norwich,Newcastle
23/04/2022,Brentford,Spurs
23/04/2022,Man Utd,Arsenal
23/04/2022,Aston Villa,Leicester
23/04/2022,Watford,Man City
23/04/2022,Newcastle,Norwich
23/04/2022,Spurs,Brentford
24/04/2022,Brighton,Southampton
24/04/2022,Burnley,Wolves
24/04/2022,Chelsea,West Ham
24/04/2022,Liverpool,Everton
24/04/2022,Southampton,Brighton
24/04/2022,Wolves,Burnley
24/04/2022,West Ham,Chelsea
24/04/2022,Everton,Liverpool
25/04/2022,Crystal Palace,Leeds
25/04/2022,Leeds,Crystal Palace
28/04/2022,Man Utd,Chelsea
28/04/2022,Chelsea,Man Utd
30/04/2022,Newcastle,Liverpool
30/04/2022,Aston Villa,Norwich
30/04/2022,Southampton,Crystal Palace
30/04/2022,Watford,Burnley
30/04/2022,Wolves,Brighton
30/04/2022,Leeds,Man City
30/04/2022,Liverpool,Newcastle
30/04/2022,Norwich,Aston Villa
30/04/2022,Crystal Palace,Southampton
30/04/2022,Burnley,Watford
30/04/2022,Brighton,Wolves
30/04/2022,Man City,Leeds
01/05/2022,Everton,Chelsea
01/05/2022,Spurs,Leicester
01/05/2022,West Ham,Arsenal
01/05/2022,Chelsea,Everton
01/05/2022,Leicester,Spurs
01/05/2022,Arsenal,West Ham
02/05/2022,Man Utd,Brentford
02/05/2022,Brentford,Man Utd
07/05/2022,Brentford,Southampton
07/05/2022,Burnley,Aston Villa
07/05/2022,Chelsea,Wolves
07/05/2022,Crystal Palace,Watford
07/05/2022,Brighton,Man Utd
07/05/2022,Liverpool,Spurs
07/05/2022,Southampton,Brentford
07/05/2022,Aston Villa,Burnley
07/05/2022,Wolves,Chelsea
07/05/2022,Watford,Crystal Palace
07/05/2022,Man Utd,Brighton
07/05/2022,Spurs,Liverpool
08/05/2022,Arsenal,Leeds
08/05/2022,Leicester,Everton
08/05/2022,Norwich,West Ham
08/05/2022,Man City,Newcastle
08/05/2022,Leeds,Arsenal
08/05/2022,Everton,Leicester
08/05/2022,West Ham,Norwich
08/05/2022,Newcastle,Man City
10/05/2022,Aston Villa,Liverpool
10/05/2022,Liverpool,Aston Villa
11/05/2022,Leeds,Chelsea
11/05/2022,Leicester,Norwich
11/05/2022,Watford,Everton
11/05/2022,Wolves,Man City
11/05/2022,Chelsea,Leeds
11/05/2022,Norwich,Leicester
11/05/2022,Everton,Watford
11/05/2022,Man City,Wolves
12/05/2022,Spurs,Arsenal
12/05/2022,Arsenal,Spurs
15/05/2022,Spurs,Burnley
15/05/2022,Aston Villa,Crystal Palace
15/05/2022,Leeds,Brighton
15/05/2022,Watford,Leicester
15/05/2022,West Ham,Man City
15/05/2022,Wolves,Norwich
15/05/2022,Everton,Brentford
15/05/2022,Burnley,Spurs
15/05/2022,Crystal Palace,Aston Villa
15/05/2022,Brighton,Leeds
15/05/2022,Leicester,Watford
15/05/2022,Man City,West Ham
15/05/2022,Norwich,Wolves
15/05/2022,Brentford,Everton
16/05/2022,Newcastle,Arsenal
16/05/2022,Arsenal,Newcastle
17/05/2022,Southampton,Liverpool
17/05/2022,Liverpool,Southampton
19/05/2022,Everton,Crystal Palace
19/05/2022,Aston Villa,Burnley
19/05/2022,Chelsea,Leicester
19/05/2022,Crystal Palace,Everton
19/05/2022,Burnley,Aston Villa
19/05/2022,Leicester,Chelsea
22/05/2022,Arsenal,Everton
22/05/2022,Brentford,Leeds
22/05/2022,Brighton,West Ham
22/05/2022,Burnley,Newcastle
22/05/2022,Chelsea,Watford
22/05/2022,Crystal Palace,Man Utd
22/05/2022,Leicester,Southampton
22/05/2022,Liverpool,Wolves
22/05/2022,Man City,Aston Villa
22/05/2022,Norwich,Spurs
22/05/2022,Everton,Arsenal
22/05/2022,Leeds,Brentford
22/05/2022,West Ham,Brighton
22/05/2022,Newcastle,Burnley
22/05/2022,Watford,Chelsea
22/05/2022,Man Utd,Crystal Palace
22/05/2022,Southampton,Leicester
22/05/2022,Wolves,Liverpool
22/05/2022,Aston Villa,Man City
22/05/2022,Spurs,Norwich
05/08/2022,Crystal Palace,Arsenal
05/08/2022,Arsenal,Crystal Palace
06/08/2022,Fulham,Liverpool
06/08/2022,Bournemouth,Aston Villa
06/08/2022,Leeds,Wolves
06/08/2022,Newcastle,Nott'm Forest
06/08/2022,Spurs,Southampton
06/08/2022,Everton,Chelsea
06/08/2022,Liverpool,Fulham
06/08/2022,Aston Villa,Bournemouth
06/08/2022,Wolves,Leeds
06/08/2022,Nott'm Forest,Newcastle
06/08/2022,Southampton,Spurs
06/08/2022,Chelsea,Everton
07/08/2022,Leicester,Brentford
07/08/2022,Man Utd,Brighton
07/08/2022,West Ham,Man City
07/08/2022,Brentford,Leicester
07/08/2022,Brighton,Man Utd
07/08/2022,Man City,West Ham
13/08/2022,Aston Villa,Everton
13/08/2022,Arsenal,Leicester
13/08/2022,Brighton,Newcastle
13/08/2022,Man City,Bournemouth
13/08/2022,Southampton,Leeds
13/08/2022,Wolves,Fulham
13/08/2022,Brentford,Man Utd
13/08/2022,Everton,Aston Villa
13/08/2022,Leicester,Arsenal
13/08/2022,Newcastle,Brighton
13/08/2022,Bournemouth,Man City
13/08/2022,Leeds,Southampton
13/08/2022,Fulham,Wolves
13/08/2022,Man Utd,Brentford
14/08/2022,Nott'm Forest,West Ham
14/08/2022,Chelsea,Spurs
14/08/2022,West Ham,Nott'm Forest
14/08/2022,Spurs,Chelsea
15/08/2022,Liverpool,Crystal Palace
